mKate,EBFP2,gRNA,uORF,EYFP,cellCount
4731.5126,2371.3737,1,1,158049.4447,93
4731.5126,23713.7371,1,1,611630.4793,250
4731.5126,237137.3706,1,1,1475799.289,52
4731.5126,4216.965,1,1,217651.1761,188
4731.5126,42169.6503,1,1,1121542.533,190
4731.5126,421696.5034,1,1,2978346.72,22
4731.5126,7498.9421,1,1,225339.1659,293
4731.5126,74989.4209,1,1,1329410.601,159
4731.5126,749894.2093,1,1,2709334.894,25
53088.4444,13335.2143,1,1,404037.5683,144
53088.4444,133352.1432,1,1,4632823.261,308
53088.4444,1333521.432,1,1,16616105.75,110
53088.4444,23713.7371,1,1,582375.65,284
53088.4444,237137.3706,1,1,11052970.04,314
53088.4444,2371373.706,1,1,10657363.77,80
53088.4444,4216.965,1,1,250047.3255,21
53088.4444,42169.6503,1,1,798522.7012,380
53088.4444,421696.5034,1,1,14129812.29,336
53088.4444,4216965.034,1,1,15862599.47,34
53088.4444,7498.9421,1,1,298709.5109,49
53088.4444,74989.4209,1,1,1678999.184,330
53088.4444,749894.2093,1,1,18480292.69,237
6683.4392,1333.5214,1,1,154474.0524,25
6683.4392,13335.2143,1,1,398097.8527,243
6683.4392,133352.1432,1,1,1380633.888,114
6683.4392,2371.3737,1,1,242721.9002,73
6683.4392,23713.7371,1,1,639856.6609,224
6683.4392,237137.3706,1,1,1590606.315,66
6683.4392,4216.965,1,1,172103.9589,113
6683.4392,42169.6503,1,1,1260599.985,223
6683.4392,421696.5034,1,1,2683529.845,33
6683.4392,7498.9421,1,1,272150.231,204
6683.4392,74989.4209,1,1,1571419.257,156
74989.4209,13335.2143,1,1,599785.8113,85
74989.4209,133352.1432,1,1,5024135.959,324
74989.4209,1333521.432,1,1,27330945.86,128
74989.4209,23713.7371,1,1,790912.0597,212
74989.4209,237137.3706,1,1,12943944.91,309
74989.4209,2371373.706,1,1,25401167.68,76
74989.4209,42169.6503,1,1,1184735.49,300
74989.4209,421696.5034,1,1,23603789.36,280
74989.4209,4216965.034,1,1,17078700.01,42
74989.4209,7498.9421,1,1,448307.0165,44
74989.4209,74989.4209,1,1,2012654.958,327
74989.4209,749894.2093,1,1,23123831.08,220
9440.6088,13335.2143,1,1,332446.7028,262
9440.6088,133352.1432,1,1,1972839.305,168
9440.6088,2371.3737,1,1,201885.8627,43
9440.6088,23713.7371,1,1,501677.1182,222
9440.6088,237137.3706,1,1,1890731.71,112
9440.6088,4216.965,1,1,191085.9639,88
9440.6088,42169.6503,1,1,930130.5265,220
9440.6088,421696.5034,1,1,2225389.845,56
